,zip,AQI,Category Number,Category Name,Pollutant
0,12023,46,1,Good,OZONE
1,12024,46,1,Good,OZONE
2,12025,46,1,Good,OZONE
3,12027,46,1,Good,OZONE
4,12028,46,1,Good,OZONE
5,12029,46,1,Good,OZONE
6,12031,46,1,Good,OZONE
7,13452,46,1,Good,OZONE
8,13428,46,1,Good,OZONE
9,13459,46,1,Good,OZONE
10,13470,46,1,Good,OZONE
11,13317,46,1,Good,OZONE
12,13339,46,1,Good,OZONE
13,13329,46,1,Good,OZONE
14,12165,46,1,Good,OZONE
15,12166,46,1,Good,OZONE
16,12156,46,1,Good,OZONE
17,12157,46,1,Good,OZONE
18,12158,46,1,Good,OZONE
19,12159,46,1,Good,OZONE
20,12160,46,1,Good,OZONE
21,12407,46,1,Good,OZONE
22,12405,46,1,Good,OZONE
23,12192,46,1,Good,OZONE
24,12193,46,1,Good,OZONE
25,12194,46,1,Good,OZONE
26,12196,46,1,Good,OZONE
27,12198,46,1,Good,OZONE
28,12202,46,1,Good,OZONE
29,12203,46,1,Good,OZONE
30,12204,46,1,Good,OZONE
31,12205,46,1,Good,OZONE
32,12206,46,1,Good,OZONE
33,12207,46,1,Good,OZONE
34,12208,46,1,Good,OZONE
35,12209,46,1,Good,OZONE
36,12210,46,1,Good,OZONE
37,12211,46,1,Good,OZONE
38,12233,46,1,Good,OZONE
39,12302,46,1,Good,OZONE
40,12303,46,1,Good,OZONE
41,12304,46,1,Good,OZONE
42,12305,46,1,Good,OZONE
43,12306,46,1,Good,OZONE
44,12307,46,1,Good,OZONE
45,12308,46,1,Good,OZONE
46,12309,46,1,Good,OZONE
47,12413,46,1,Good,OZONE
48,12414,46,1,Good,OZONE
49,12422,46,1,Good,OZONE
50,12423,46,1,Good,OZONE
51,12424,46,1,Good,OZONE
52,12427,46,1,Good,OZONE
53,12418,46,1,Good,OZONE
54,12439,46,1,Good,OZONE
55,12431,46,1,Good,OZONE
56,12450,46,1,Good,OZONE
57,12451,46,1,Good,OZONE
58,12454,46,1,Good,OZONE
59,12444,46,1,Good,OZONE
60,12442,46,1,Good,OZONE
61,12468,46,1,Good,OZONE
62,12469,46,1,Good,OZONE
63,12470,46,1,Good,OZONE
64,12460,46,1,Good,OZONE
65,12090,46,1,Good,OZONE
66,12092,46,1,Good,OZONE
67,12093,46,1,Good,OZONE
68,12094,46,1,Good,OZONE
69,12095,46,1,Good,OZONE
70,12106,46,1,Good,OZONE
71,12083,46,1,Good,OZONE
72,12084,46,1,Good,OZONE
73,12086,46,1,Good,OZONE
74,12087,46,1,Good,OZONE
75,12117,46,1,Good,OZONE
76,12118,46,1,Good,OZONE
77,12120,46,1,Good,OZONE
78,12121,46,1,Good,OZONE
79,12122,46,1,Good,OZONE
80,12123,46,1,Good,OZONE
81,12125,46,1,Good,OZONE
82,12130,46,1,Good,OZONE
83,12131,46,1,Good,OZONE
84,12033,46,1,Good,OZONE
85,12035,46,1,Good,OZONE
86,12036,46,1,Good,OZONE
87,12037,46,1,Good,OZONE
88,12065,46,1,Good,OZONE
89,12066,46,1,Good,OZONE
90,12067,46,1,Good,OZONE
91,12068,46,1,Good,OZONE
92,12070,46,1,Good,OZONE
93,12071,46,1,Good,OZONE
94,12072,46,1,Good,OZONE
95,12074,46,1,Good,OZONE
96,12075,46,1,Good,OZONE
97,12076,46,1,Good,OZONE
98,12077,46,1,Good,OZONE
99,12078,46,1,Good,OZONE
100,12110,46,1,Good,OZONE
101,12136,46,1,Good,OZONE
102,12137,46,1,Good,OZONE
103,12138,46,1,Good,OZONE
104,12140,46,1,Good,OZONE
105,12143,46,1,Good,OZONE
106,12144,46,1,Good,OZONE
107,12147,46,1,Good,OZONE
108,12148,46,1,Good,OZONE
109,12149,46,1,Good,OZONE
110,12150,46,1,Good,OZONE
111,12151,46,1,Good,OZONE
112,12153,46,1,Good,OZONE
113,12154,46,1,Good,OZONE
114,12168,46,1,Good,OZONE
115,12169,46,1,Good,OZONE
116,12170,46,1,Good,OZONE
117,12173,46,1,Good,OZONE
118,12175,46,1,Good,OZONE
119,12176,46,1,Good,OZONE
120,12180,46,1,Good,OZONE
121,12182,46,1,Good,OZONE
122,12183,46,1,Good,OZONE
123,12184,46,1,Good,OZONE
124,12185,46,1,Good,OZONE
125,12186,46,1,Good,OZONE
126,12187,46,1,Good,OZONE
127,12188,46,1,Good,OZONE
128,12189,46,1,Good,OZONE
129,12041,46,1,Good,OZONE
130,12042,46,1,Good,OZONE
131,12043,46,1,Good,OZONE
132,12046,46,1,Good,OZONE
133,12047,46,1,Good,OZONE
134,12051,46,1,Good,OZONE
135,12052,46,1,Good,OZONE
136,12053,46,1,Good,OZONE
137,12054,46,1,Good,OZONE
138,12055,46,1,Good,OZONE
139,12056,46,1,Good,OZONE
140,12057,46,1,Good,OZONE
141,12058,46,1,Good,OZONE
142,12059,46,1,Good,OZONE
143,12060,46,1,Good,OZONE
144,12061,46,1,Good,OZONE
145,12062,46,1,Good,OZONE
146,12534,46,1,Good,OZONE
147,12803,46,1,Good,OZONE
148,12816,46,1,Good,OZONE
149,12837,46,1,Good,OZONE
150,12838,46,1,Good,OZONE
151,12839,46,1,Good,OZONE
152,12821,46,1,Good,OZONE
153,12822,46,1,Good,OZONE
154,12823,46,1,Good,OZONE
155,12827,46,1,Good,OZONE
156,12828,46,1,Good,OZONE
157,12831,46,1,Good,OZONE
158,12832,46,1,Good,OZONE
159,12833,46,1,Good,OZONE
160,12834,46,1,Good,OZONE
161,12835,46,1,Good,OZONE
162,12529,46,1,Good,OZONE
163,12526,46,1,Good,OZONE
164,12523,46,1,Good,OZONE
165,12521,46,1,Good,OZONE
166,12516,46,1,Good,OZONE
167,12517,46,1,Good,OZONE
168,12513,46,1,Good,OZONE
169,12496,46,1,Good,OZONE
170,12502,46,1,Good,OZONE
171,12503,46,1,Good,OZONE
172,12492,46,1,Good,OZONE
173,12485,46,1,Good,OZONE
174,12473,46,1,Good,OZONE
175,12463,46,1,Good,OZONE
176,12482,46,1,Good,OZONE
177,12887,46,1,Good,OZONE
178,12873,46,1,Good,OZONE
179,12871,46,1,Good,OZONE
180,12861,46,1,Good,OZONE
181,12863,46,1,Good,OZONE
182,12865,46,1,Good,OZONE
183,12866,46,1,Good,OZONE
184,12859,46,1,Good,OZONE
185,12854,46,1,Good,OZONE
186,12849,46,1,Good,OZONE
187,12850,46,1,Good,OZONE
188,12844,46,1,Good,OZONE
189,12809,46,1,Good,OZONE
190,14001,49,1,Good,OZONE
191,14004,49,1,Good,OZONE
192,14005,49,1,Good,OZONE
193,14006,49,1,Good,OZONE
194,14009,49,1,Good,OZONE
