,zip,AQI,Category Number,Category Name,Pollutant,Year
0,12032,90,2,Moderate,OZONE,2009
1,12108,90,2,Moderate,OZONE,2009
2,12134,90,2,Moderate,OZONE,2009
3,12139,90,2,Moderate,OZONE,2009
4,12164,90,2,Moderate,OZONE,2009
5,12190,90,2,Moderate,OZONE,2009
6,12801,90,2,Moderate,OZONE,2009
7,12810,90,2,Moderate,OZONE,2009
8,12812,90,2,Moderate,OZONE,2009
9,12814,90,2,Moderate,OZONE,2009
10,12815,90,2,Moderate,OZONE,2009
11,12824,90,2,Moderate,OZONE,2009
12,12817,90,2,Moderate,OZONE,2009
13,12836,90,2,Moderate,OZONE,2009
14,12901,90,2,Moderate,OZONE,2009
15,12903,90,2,Moderate,OZONE,2009
16,12910,90,2,Moderate,OZONE,2009
17,12911,90,2,Moderate,OZONE,2009
18,12912,90,2,Moderate,OZONE,2009
19,12913,90,2,Moderate,OZONE,2009
20,12914,90,2,Moderate,OZONE,2009
21,12916,90,2,Moderate,OZONE,2009
22,12917,90,2,Moderate,OZONE,2009
23,12918,90,2,Moderate,OZONE,2009
24,12919,90,2,Moderate,OZONE,2009
25,12920,90,2,Moderate,OZONE,2009
26,12921,90,2,Moderate,OZONE,2009
27,12922,90,2,Moderate,OZONE,2009
28,12923,90,2,Moderate,OZONE,2009
29,12924,90,2,Moderate,OZONE,2009
30,12926,90,2,Moderate,OZONE,2009
31,12928,90,2,Moderate,OZONE,2009
32,12930,90,2,Moderate,OZONE,2009
33,12932,90,2,Moderate,OZONE,2009
34,12934,90,2,Moderate,OZONE,2009
35,12935,90,2,Moderate,OZONE,2009
36,12936,90,2,Moderate,OZONE,2009
37,12937,90,2,Moderate,OZONE,2009
38,12941,90,2,Moderate,OZONE,2009
39,12942,90,2,Moderate,OZONE,2009
40,12943,90,2,Moderate,OZONE,2009
41,12944,90,2,Moderate,OZONE,2009
42,12945,90,2,Moderate,OZONE,2009
43,12946,90,2,Moderate,OZONE,2009
44,12949,90,2,Moderate,OZONE,2009
45,12950,90,2,Moderate,OZONE,2009
46,12952,90,2,Moderate,OZONE,2009
47,12953,90,2,Moderate,OZONE,2009
48,12955,90,2,Moderate,OZONE,2009
49,12956,90,2,Moderate,OZONE,2009
50,12957,90,2,Moderate,OZONE,2009
51,12958,90,2,Moderate,OZONE,2009
52,12959,90,2,Moderate,OZONE,2009
53,12960,90,2,Moderate,OZONE,2009
54,12961,90,2,Moderate,OZONE,2009
55,12962,90,2,Moderate,OZONE,2009
56,12964,90,2,Moderate,OZONE,2009
57,12965,90,2,Moderate,OZONE,2009
58,12966,90,2,Moderate,OZONE,2009
59,12967,90,2,Moderate,OZONE,2009
60,12969,90,2,Moderate,OZONE,2009
61,12970,90,2,Moderate,OZONE,2009
62,12972,90,2,Moderate,OZONE,2009
63,12973,90,2,Moderate,OZONE,2009
64,12974,90,2,Moderate,OZONE,2009
65,12978,90,2,Moderate,OZONE,2009
66,12979,90,2,Moderate,OZONE,2009
67,12980,90,2,Moderate,OZONE,2009
68,12981,90,2,Moderate,OZONE,2009
69,12983,90,2,Moderate,OZONE,2009
70,12985,90,2,Moderate,OZONE,2009
71,12986,90,2,Moderate,OZONE,2009
