,zip,AQI,Category Number,Category Name,Pollutant,Year
0,12032,44,1,Good,OZONE,2015
1,12108,44,1,Good,OZONE,2015
2,12134,44,1,Good,OZONE,2015
3,12139,44,1,Good,OZONE,2015
4,12164,44,1,Good,OZONE,2015
5,12190,44,1,Good,OZONE,2015
6,12801,44,1,Good,OZONE,2015
7,12810,44,1,Good,OZONE,2015
8,12812,44,1,Good,OZONE,2015
9,12814,44,1,Good,OZONE,2015
10,12815,44,1,Good,OZONE,2015
11,12824,44,1,Good,OZONE,2015
12,12817,44,1,Good,OZONE,2015
13,12836,44,1,Good,OZONE,2015
14,12901,44,1,Good,OZONE,2015
15,12903,44,1,Good,OZONE,2015
16,12910,44,1,Good,OZONE,2015
17,12911,44,1,Good,OZONE,2015
18,12912,44,1,Good,OZONE,2015
19,12913,44,1,Good,OZONE,2015
20,12914,44,1,Good,OZONE,2015
21,12916,44,1,Good,OZONE,2015
22,12917,44,1,Good,OZONE,2015
23,12918,44,1,Good,OZONE,2015
24,12919,44,1,Good,OZONE,2015
25,12920,44,1,Good,OZONE,2015
26,12921,44,1,Good,OZONE,2015
27,12922,44,1,Good,OZONE,2015
28,12923,44,1,Good,OZONE,2015
29,12924,44,1,Good,OZONE,2015
30,12926,44,1,Good,OZONE,2015
31,12928,44,1,Good,OZONE,2015
32,12930,44,1,Good,OZONE,2015
33,12932,44,1,Good,OZONE,2015
34,12934,44,1,Good,OZONE,2015
35,12935,44,1,Good,OZONE,2015
36,12936,44,1,Good,OZONE,2015
37,12937,44,1,Good,OZONE,2015
38,12941,44,1,Good,OZONE,2015
39,12942,44,1,Good,OZONE,2015
40,12943,44,1,Good,OZONE,2015
41,12944,44,1,Good,OZONE,2015
42,12945,44,1,Good,OZONE,2015
43,12946,44,1,Good,OZONE,2015
44,12949,44,1,Good,OZONE,2015
45,12950,44,1,Good,OZONE,2015
46,12952,44,1,Good,OZONE,2015
47,12953,44,1,Good,OZONE,2015
48,12955,44,1,Good,OZONE,2015
49,12956,44,1,Good,OZONE,2015
50,12957,44,1,Good,OZONE,2015
51,12958,44,1,Good,OZONE,2015
52,12959,44,1,Good,OZONE,2015
53,12960,44,1,Good,OZONE,2015
54,12961,44,1,Good,OZONE,2015
55,12962,44,1,Good,OZONE,2015
56,12964,44,1,Good,OZONE,2015
57,12965,44,1,Good,OZONE,2015
58,12966,44,1,Good,OZONE,2015
59,12967,44,1,Good,OZONE,2015
60,12969,44,1,Good,OZONE,2015
61,12970,44,1,Good,OZONE,2015
62,12972,44,1,Good,OZONE,2015
63,12973,44,1,Good,OZONE,2015
64,12974,44,1,Good,OZONE,2015
65,12978,44,1,Good,OZONE,2015
66,12979,44,1,Good,OZONE,2015
67,12980,44,1,Good,OZONE,2015
68,12981,44,1,Good,OZONE,2015
69,12983,44,1,Good,OZONE,2015
70,12985,44,1,Good,OZONE,2015
71,12986,44,1,Good,OZONE,2015
72,12987,44,1,Good,OZONE,2015
73,12989,44,1,Good,OZONE,2015
74,12992,44,1,Good,OZONE,2015
75,12993,44,1,Good,OZONE,2015
76,12996,44,1,Good,OZONE,2015
77,12997,44,1,Good,OZONE,2015
78,12804,44,1,Good,OZONE,2015
79,12808,44,1,Good,OZONE,2015
80,12842,44,1,Good,OZONE,2015
81,12843,44,1,Good,OZONE,2015
82,12845,44,1,Good,OZONE,2015
83,12846,44,1,Good,OZONE,2015
84,12847,44,1,Good,OZONE,2015
85,12851,44,1,Good,OZONE,2015
86,12852,44,1,Good,OZONE,2015
87,12853,44,1,Good,OZONE,2015
88,12855,44,1,Good,OZONE,2015
89,12857,44,1,Good,OZONE,2015
90,12858,44,1,Good,OZONE,2015
91,12860,44,1,Good,OZONE,2015
92,12870,44,1,Good,OZONE,2015
93,12872,44,1,Good,OZONE,2015
94,12874,44,1,Good,OZONE,2015
95,12878,44,1,Good,OZONE,2015
96,12883,44,1,Good,OZONE,2015
97,12885,44,1,Good,OZONE,2015
98,12886,44,1,Good,OZONE,2015
99,13331,44,1,Good,OZONE,2015
100,13324,44,1,Good,OZONE,2015
101,13360,44,1,Good,OZONE,2015
102,13353,44,1,Good,OZONE,2015
103,13420,44,1,Good,OZONE,2015
104,13436,44,1,Good,OZONE,2015
105,13613,44,1,Good,OZONE,2015
106,13614,44,1,Good,OZONE,2015
107,13617,44,1,Good,OZONE,2015
108,13621,44,1,Good,OZONE,2015
109,13625,44,1,Good,OZONE,2015
110,13630,44,1,Good,OZONE,2015
111,13633,44,1,Good,OZONE,2015
112,13694,44,1,Good,OZONE,2015
113,13695,44,1,Good,OZONE,2015
114,13696,44,1,Good,OZONE,2015
115,13697,44,1,Good,OZONE,2015
116,13635,44,1,Good,OZONE,2015
117,13642,44,1,Good,OZONE,2015
118,13646,44,1,Good,OZONE,2015
119,13648,44,1,Good,OZONE,2015
120,13652,44,1,Good,OZONE,2015
121,13654,44,1,Good,OZONE,2015
122,13655,44,1,Good,OZONE,2015
123,13639,44,1,Good,OZONE,2015
124,13658,44,1,Good,OZONE,2015
125,13666,44,1,Good,OZONE,2015
126,13667,44,1,Good,OZONE,2015
