,City,State,Zipcode,Latitude,Longitude
0,Aberdeen,SD,57401,45.459,-98.4868
1,Aberdeen,SD,57402,45.4527,-98.4976
2,Aberdeen,WA,98535,47.1128,-124.1723
3,Aberdeen,WA,98536,47.1115,-124.0756
4,Aberdeen,WA,98537,46.953,-123.7759
5,Aberdeen,WA,98547,46.7978,-124.087
6,Aberdeen,WA,98550,46.9811,-123.8859
7,Aberdeen,WA,98552,47.4063,-123.8826
8,Aberdeen,WA,98562,47.3328,-124.0674
9,Aberdeen,WA,98563,46.9827,-123.604
10,Aberdeen,WA,98520,46.9771,-123.8228
11,Aberdeen,WA,98569,47.0091,-124.1609
12,Aberdeen,WA,98571,47.2091,-124.2041
13,Aberdeen,WA,98590,46.7073,-123.982
14,Aberdeen,WA,98595,46.886,-124.1055
15,Adams - Mt. Greylock,MA,1070,42.5407,-72.9737
16,Adams - Mt. Greylock,MA,1220,42.6214,-73.1185
17,Adams - Mt. Greylock,MA,1225,42.5623,-73.1581
18,Adams - Mt. Greylock,MA,1237,42.5069,-73.234
19,Adams - Mt. Greylock,MA,1256,42.5662,-73.0324
20,Adams - Mt. Greylock,MA,1267,42.7131,-73.2026
21,Adams - Mt. Greylock,MA,1270,42.5059,-73.0618
22,Adams - Mt. Greylock,MA,1339,42.6276,-72.8784
23,Adams - Mt. Greylock,MA,1343,42.6585,-73.0045
24,Adams - Mt. Greylock,MA,1367,42.691,-72.9019
25,Adirondacks Region,NY,12032,43.2295,-74.5171
26,Adirondacks Region,NY,12108,43.4531,-74.4567
27,Adirondacks Region,NY,12134,43.2027,-74.1115
28,Adirondacks Region,NY,12139,43.4032,-74.5363
29,Adirondacks Region,NY,12164,43.4904,-74.3743
30,Adirondacks Region,NY,12190,43.3998,-74.2878
31,Adirondacks Region,NY,12801,43.3137,-73.6463
32,Adirondacks Region,NY,12810,43.4689,-73.8986
33,Adirondacks Region,NY,12812,43.8536,-74.4354
34,Adirondacks Region,NY,12814,43.5598,-73.6583
35,Adirondacks Region,NY,12815,43.673,-73.7578
36,Adirondacks Region,NY,12824,43.4922,-73.6804
37,Adirondacks Region,NY,12817,43.593,-73.7926
38,Adirondacks Region,NY,12836,43.7349,-73.5025
39,Adirondacks Region,NY,12901,44.6979,-73.4552
40,Adirondacks Region,NY,12903,44.6873,-73.4458
41,Adirondacks Region,NY,12910,44.8882,-73.6528
42,Adirondacks Region,NY,12911,44.5222,-73.465
43,Adirondacks Region,NY,12912,44.5317,-73.967
44,Adirondacks Region,NY,12913,44.407,-74.0911
45,Adirondacks Region,NY,12914,44.943,-74.6531
46,Adirondacks Region,NY,12916,44.8303,-74.5151
47,Adirondacks Region,NY,12917,44.9045,-74.1672
48,Adirondacks Region,NY,12918,44.6975,-73.6271
49,Adirondacks Region,NY,12919,44.9844,-73.4492
50,Adirondacks Region,NY,12920,44.9252,-74.0762
51,Adirondacks Region,NY,12921,44.8875,-73.4376
52,Adirondacks Region,NY,12922,44.2878,-74.6761
53,Adirondacks Region,NY,12923,44.9621,-73.9462
54,Adirondacks Region,NY,12924,44.4703,-73.5922
55,Adirondacks Region,NY,12926,44.9233,-74.2937
56,Adirondacks Region,NY,12928,43.9584,-73.4304
57,Adirondacks Region,NY,12930,44.7176,-74.5542
58,Adirondacks Region,NY,12932,44.2192,-73.5868
59,Adirondacks Region,NY,12934,44.8647,-73.8928
60,Adirondacks Region,NY,12935,44.9064,-73.7963
61,Adirondacks Region,NY,12936,44.2897,-73.3506
62,Adirondacks Region,NY,12937,44.9908,-74.4979
63,Adirondacks Region,NY,12941,44.4303,-73.7396
64,Adirondacks Region,NY,12942,44.2547,-73.7907
65,Adirondacks Region,NY,12943,44.184,-73.7856
66,Adirondacks Region,NY,12944,44.5018,-73.477
67,Adirondacks Region,NY,12945,44.3502,-74.2736
68,Adirondacks Region,NY,12946,44.2839,-73.9845
69,Adirondacks Region,NY,12949,44.7713,-74.655
70,Adirondacks Region,NY,12950,44.2842,-73.5636
71,Adirondacks Region,NY,12952,44.734,-73.955
72,Adirondacks Region,NY,12953,44.8514,-74.2931
73,Adirondacks Region,NY,12955,44.7698,-73.9585
74,Adirondacks Region,NY,12956,44.0889,-73.5204
75,Adirondacks Region,NY,12957,44.8183,-74.5563
76,Adirondacks Region,NY,12958,44.9619,-73.5823
77,Adirondacks Region,NY,12959,44.9568,-73.6407
78,Adirondacks Region,NY,12960,44.0527,-73.5077
79,Adirondacks Region,NY,12961,44.0493,-73.5547
80,Adirondacks Region,NY,12962,44.6924,-73.5585
81,Adirondacks Region,NY,12964,44.1572,-73.6137
82,Adirondacks Region,NY,12965,44.7058,-74.715
83,Adirondacks Region,NY,12966,44.8406,-74.4005
84,Adirondacks Region,NY,12967,44.7754,-74.6082
85,Adirondacks Region,NY,12969,44.6921,-74.1134
86,Adirondacks Region,NY,12970,44.5142,-74.3049
87,Adirondacks Region,NY,12972,44.5798,-73.5266
88,Adirondacks Region,NY,12973,44.2317,-74.5657
89,Adirondacks Region,NY,12974,44.0458,-73.4624
90,Adirondacks Region,NY,12978,44.6094,-73.8017
91,Adirondacks Region,NY,12979,44.9894,-73.3664
92,Adirondacks Region,NY,12980,44.67,-74.661
93,Adirondacks Region,NY,12981,44.6568,-73.7369
94,Adirondacks Region,NY,12983,44.3291,-74.1222
95,Adirondacks Region,NY,12985,44.6171,-73.6072
96,Adirondacks Region,NY,12986,44.1363,-74.5527
97,Adirondacks Region,NY,12987,44.3363,-73.7755
98,Adirondacks Region,NY,12989,44.4537,-74.0647
99,Adirondacks Region,NY,12992,44.8209,-73.5069
100,Adirondacks Region,NY,12993,44.1872,-73.4377
101,Adirondacks Region,NY,12996,44.4094,-73.3773
102,Adirondacks Region,NY,12997,44.3894,-73.8225
103,Adirondacks Region,NY,12804,43.3756,-73.6039
104,Adirondacks Region,NY,12808,43.7398,-73.7844
105,Adirondacks Region,NY,12842,43.7785,-74.2587
106,Adirondacks Region,NY,12843,43.5314,-74.0171
107,Adirondacks Region,NY,12845,43.4259,-73.7169
108,Adirondacks Region,NY,12846,43.3183,-73.8353
109,Adirondacks Region,NY,12847,43.938,-74.4605
110,Adirondacks Region,NY,12851,43.7845,-73.9789
111,Adirondacks Region,NY,12852,43.9558,-74.1106
112,Adirondacks Region,NY,12853,43.6931,-73.9871
113,Adirondacks Region,NY,12855,44.0068,-73.6995
114,Adirondacks Region,NY,12857,43.7749,-73.9344
115,Adirondacks Region,NY,12858,43.8858,-73.665
116,Adirondacks Region,NY,12860,43.7364,-73.8353
117,Adirondacks Region,NY,12870,43.8421,-73.7601
118,Adirondacks Region,NY,12872,43.8815,-73.7211
119,Adirondacks Region,NY,12874,43.673,-73.5101
120,Adirondacks Region,NY,12878,43.4246,-73.9278
121,Adirondacks Region,NY,12883,43.8466,-73.4257
122,Adirondacks Region,NY,12885,43.4925,-73.7749
123,Adirondacks Region,NY,12886,43.6356,-73.9335
124,Adirondacks Region,NY,13331,43.7726,-74.8205
125,Adirondacks Region,NY,13324,43.3182,-75.0855
126,Adirondacks Region,NY,13360,43.7512,-74.7967
127,Adirondacks Region,NY,13353,43.3819,-74.6682
128,Adirondacks Region,NY,13420,43.7417,-74.8915
129,Adirondacks Region,NY,13436,43.8041,-74.6223
130,Adirondacks Region,NY,13613,44.8046,-74.7725
131,Adirondacks Region,NY,13614,44.5318,-75.6657
132,Adirondacks Region,NY,13617,44.5986,-75.1706
133,Adirondacks Region,NY,13621,44.8378,-75.0901
134,Adirondacks Region,NY,13625,44.5525,-74.9386
135,Adirondacks Region,NY,13630,44.507,-75.2721
136,Adirondacks Region,NY,13633,44.4852,-75.4864
137,Adirondacks Region,NY,13694,44.8499,-75.1638
138,Adirondacks Region,NY,13695,44.1369,-74.9194
139,Adirondacks Region,NY,13696,44.7131,-74.8995
140,Adirondacks Region,NY,13697,44.7952,-74.7878
141,Adirondacks Region,NY,13635,44.3258,-75.2517
142,Adirondacks Region,NY,13642,44.3348,-75.4694
